plot;date;plant;L;l;surfaceF;surfaceST;N_aphid;time;t0;t1;t2;t3;t4;t5;t6;t7;t8;t9;t10;t11;add changes;avg_inact;avg_walk;avg_tend;tot_ant;tot_exp;
Ol-11_ext;13.08.2018;Ceta;57;72;1;0;82;9h52;8;8;8;8;8;8;8;8;8;8;8;8;0;kA;kA;kA;10;2;
Ol-11_ext;18.08.2018;Alpha;48;42;1;0;97;11h10;6;6;6;6;6;6;6;6;6;6;6;6;0;0;2;4;6;0;
Ol-11_ext;18.08.2018;Alpha;48;42;1;0;97;11h26;7;7;7;7;7;7;7;7;7;7;7;7;0;1;0;6;7;0;
Ol-11_ext;18.08.2018;Alpha;48;42;1;0;97;11h43;7;7;7;7;7;7;7;7;7;7;7;7;0;1;1;5;8;0;
Ol-11_ext;18.08.2018;Alpha;48;42;1;0;97;11h47;8;8;8;8;7;8;8;8;8;8;8;8;0;0;3;5;9;0;
Ol-11_ext;18.08.2018;Alpha;48;42;1;0;97;11h55;9;9;9;9;9;9;9;9;9;9;9;8;0;1;1;7;8;0;
Ol-11_ext;25.08.2018;Alpha;4;53;0;1;157;9h08;15;15;15;15;15;15;15;15;16;16;16;16;0;0;2;13;22;0;
Ol-11_ext;25.08.2018;Alpha;4;53;0;1;157;9h19;14;14;14;14;14;14;14;14;14;14;14;14;0;1;2;11;21;2;
Ol-11_ext;25.08.2018;Alpha;4;53;0;1;157;9h28;15;15;16;16;15;15;15;15;15;15;15;15;0;1;4;10;19;0;
Ol-11_ext;25.08.2018;Alpha;4;53;0;1;157;9h37;17;17;17;17;17;17;17;17;17;17;17;17;0;1;1;13;22;1;
Ol-11_ext;25.08.2018;Alpha;4;53;0;1;157;9h45;14;13;14;14;14;14;14;14;13;13;13;13;0;1;4;9;18;0;
Ol-11_ext;31.08.2018;Delta;4;67;0;3;191;9h22;18;18;18;18;18;18;18;18;18;18;18;18;0;2;1;15;23;0;
Ol-11_ext;31.08.2018;Delta;4;67;0;3;191;9h35;17;17;17;17;17;17;17;17;17;16;17;17;0;1;0;16;24;1;
Ol-11_ext;31.08.2018;Delta;4;67;0;3;191;9h47;19;20;20;19;19;19;19;18;18;18;18;19;0;2;0;17;25;1;
Ol-11_ext;31.08.2018;Delta;4;67;0;3;191;9h58;17;17;17;17;17;17;17;17;17;17;17;17;0;2;0;15;23;1;
Ol-11_ext;31.08.2018;Delta;4;67;0;3;191;10h12;18;16;17;17;17;17;17;16;17;17;17;17;0;0;1;16;24;0;
Nh-10;03.08.2018;Alpha;36;72;1;0;48;11h46;6;4;8;8;9;9;8;8;9;10;9;8;0;kA;kA;kA;kA;kA;
Nh-10;03.08.2018;Alpha;36;72;1;0;48;11h48;7;6;6;7;6;8;6;8;8;8;7;9;0;kA;kA;kA;kA;kA;
Nh-10;03.08.2018;Alpha;36;72;1;0;48;11h50;7;6;6;7;7;7;7;7;7;7;7;7;0;kA;kA;kA;kA;kA;
Nh-10;03.08.2018;Alpha;36;72;1;0;48;11h52;7;7;7;7;7;6,5;6;7;6;7;7;6,5;3,5;kA;kA;kA;kA;kA;
Nh-10;03.08.2018;Alpha;36;72;1;0;48;11h54;7;8,5;8,5;10;9;9;8,5;7;7;9;8;8;6;kA;kA;kA;kA;kA;
Nh-10;08.08.2018;Alpha;36;72;1;0;52;11h15;7;7;7;7;7;7;7;7;7;7;7;7;0;kA;kA;kA;7;kA;
Nh-10;08.08.2018;Alpha;36;72;1;0;52;11h42;5;5;5;5;5;5;5;5;5;5;5;5;0;0;1;4;5;0;
Nh-10;08.08.2018;Alpha;36;72;1;0;52;11h44;5;5;5;5;5;5;5;5;5;5;5;5;0;0;1;4;5;0;
Nh-10;08.08.2018;Alpha;36;72;1;0;52;11h46;4;4;4;4;4;4;4;4;4;4;4;4;0;0;1;4;5;1;
Nh-10;08.08.2018;Alpha;36;72;1;0;52;11h48;4;4;4;5;5;5;5;5;5;5;5;5;0;0;1;4;5;0;
Nh-10;13.08.2018;Alpha;49;42;1;0;14;11h20;3;3;3;3;3;3;3;3;3;3;3;3;0;kA;0;kA;3;0;
Nh-10;13.08.2018;Alpha;49;42;1;0;14;11h40;2;2;2;2;2;2;2;2;2;2;2;2;0;kA;0;kA;2;0;
Nh-10;13.08.2018;Alpha;49;42;1;0;14;11h42;2;2;2;2;2;2;2;2;2;2;2;2;0;kA;0;kA;2;0;
Nh-10;13.08.2018;Alpha;49;42;1;0;14;11h44;2;2;2;2;2;2;2;2;2;2;2;2;0;kA;0;kA;2;0;
Nh-10;13.08.2018;Alpha;49;42;1;0;14;11h45;2;2;2;2;2;2;2;2;2;2;2;2;0;kA;0;kA;2;0;
Nh-10_ext;18.08.2018;Beta;80;63;1;0;24;9h21;8;8;8;8;9;8;8;9;8;10;10;10;0;3;1;5;12;2;
Nh-10_ext;18.08.2018;Beta;80;63;1;0;24;9h38;13;13;13;13;13;12;12;11;11;11;11;11;0;2;2;8;11;1;
Nh-10_ext;18.08.2018;Beta;80;63;1;0;24;9h52;11;11;11;12;12;12;12;12;12;12;11;11;0;3;2;7;11;0;
Nh-10_ext;18.08.2018;Beta;80;63;1;0;24;10h03;11;11;11;11;11;11;11;11;11;11;11;11;0;2;3;7;12;0;
Nh-10_ext;18.08.2018;Beta;80;63;1;0;24;10h06;10;10;10;10;10;10;11;11;11;12;12;12;0;5;1;5;12;0;
Nh-10_ext;23.08.2018;Beta;39;78;1;0;43;9h02;21;21;21;20;19;19;18;19;19;19;19;19;0;5;1;13;22;3;
Nh-10_ext;23.08.2018;Beta;39;78;1;0;43;9h18;19;19;19;19;19;19;19;19;19;19;19;19;0;4;2;13;20;1;
Nh-10_ext;23.08.2018;Beta;39;78;1;0;43;9h27;19;19;19;19;18;18;17;18;18;18;18;17;0;5;1;12;19;1;
Nh-10_ext;23.08.2018;Beta;39;78;1;0;43;9h36;20;20;21;21;21;20;20;19;19;20;20;20;0;3;2;15;23;3;
Nh-10_ext;23.08.2018;Beta;39;78;1;0;43;9h45;16;16;16;15;15;16;16;16;17;17;16;16;0;2;3;11;22;2;
Nh-10_ext;25.08.2018;Ceta;7;65;0;3;184;11h10;14;14;13;12;12;11;11;11;11;12;12;13;0;0;6;6;22;7;after ladybird beetle attack
Nh-10_ext;25.08.2018;Ceta;7;65;0;3;184;11h22;19;20;20;19;19;16;17;18;18;17;18;18;0;1;5;12;24;5;
Nh-10_ext;25.08.2018;Ceta;7;65;0;3;184;11h32;18;18;18;18;18;18;18;18;17;18;17;16;0;2;3;13;23;3;
Nh-10_ext;25.08.2018;Ceta;7;65;0;3;184;11h42;16;17;16;17;16;17;18;19;18;18;19;19;0;0;5;13;26;5;
Nh-10_ext;25.08.2018;Ceta;7;65;0;3;184;11h49;16;16;16;16;16;17;16;18;18;17;17;17;0;2;1;14;21;2;
Nh-10_ext;31.08.2018;Delta;7;51;0;2;164;11h12;11;12;12;12;12;12;12;13;12;12;12;12;0;0;4;8;19;7;
Nh-10_ext;31.08.2018;Delta;7;51;0;2;164;11h29;15;14;14;14;14;14;14;14;14;13;13;13;0;1;1;12;19;3;
Nh-10_ext;31.08.2018;Delta;7;51;0;2;164;11h42;17;17;17;17;17;17;17;17;16;16;16;16;0;1;1;15;19;1;
Nh-10_ext;31.08.2018;Delta;7;51;0;2;164;11h52;14;14;14;14;14;14;14;14;14;14;14;15;0;3;0;11;17;2;
Nh-10_ext;31.08.2018;Delta;7;51;0;2;164;11h56;14;15;15;15;15;16;16;16;16;16;16;16;0;3;1;12;18;1;
Oh-02_ext;04.08.2018;Alpha;52;68;1;0;38;9h48;15;16;15;16;17;15;16;16;15;15;15;15;0;kA;kA;kA;kA;kA;
Oh-02_ext;04.08.2018;Alpha;52;68;1;0;38;9h50;14;14;14;15;15;16;14;14;15;15;14;14;0;kA;kA;kA;kA;kA;
Oh-02_ext;04.08.2018;Alpha;52;68;1;0;38;9h52;16;17;17;18;17;15;15;15;14;15;14;17;0;kA;kA;kA;kA;kA;
Oh-02_ext;04.08.2018;Alpha;52;68;1;0;38;9h54;15;15;15;14;13;15;14;16;13;12,5;12;12;0;kA;kA;kA;kA;kA;
Oh-02_ext;04.08.2018;Alpha;52;68;1;0;38;9h56;11;11;12;12;12;11,5;11;12;12;12;12;11;0;kA;kA;kA;kA;kA;
Oh-02_ext;09.08.2018;Alpha;71;66;1;0;43;10h02;30;30;30;30;30;30;29;29;30;30;30;30;0;kA;kA;kA;kA;kA;
Oh-02_ext;09.08.2018;Alpha;71;66;1;0;43;10h04;30;30;30;31;31;31;31;31;31;31;30;29;0;kA;kA;kA;kA;kA;
Oh-02_ext;09.08.2018;Alpha;71;66;1;0;43;10h06;30;30;30;30;30;29;29;29;29;30;29;29;0;kA;kA;kA;kA;kA;
Oh-02_ext;09.08.2018;Alpha;71;66;1;0;43;10h08;29;29;29;29;30;30;30;30;30;31;30;30;0;kA;kA;kA;kA;kA;
Oh-02_ext;09.08.2018;Alpha;71;66;1;0;43;10h10;30;30;30;31;31;32;32;32;30;32;32;31;0;kA;kA;kA;kA;kA;
Oh-02_ext;15.08.2018;Beta;79;52;1;0;99;10h00;49;50;49;50;51;49;51;48;47;49;48;48;0;kA;kA;kA;kA;kA;
Oh-02_ext;15.08.2018;Beta;79;52;1;0;99;10h02;47;46;45;47;47;48;47;48;47;48;48;48;0;kA;kA;kA;kA;kA;
