"","ID_plot","Analysis","Long","Lat","Age","Size_Patch","ShDry_100","ShDry_500","ShDry_1000","ShDry_5000","Air_temp","Urb_clim","SVF","pH","C","N","S","P","K","Cu","Zn","Cd","Pb","Ni","Wc","Lf","KAK","C_N","C_S","Slope","Aspect","Cover_total","Cover_herb","Cover_moss","Cover_litter","Height_herbs","Seal_100","Seal_500","Seal_1000","Seal_5000","Pop_100","Pop_500","Pop_1000","Pop_5000","FAR_100","FAR_500","FAR_1000","FAR_5000","URBAN_100","URBAN_500","URBAN_1000","URBAN_5000","RdDen_100","RdDen_500","RdDen_1000","RdDen_5000","Road_Dist","RwDen_100","RwDen_500","RwDen_1000","RwDen_5000","Railw_Dist","metals","plots20","SR","SR.neo","Cover.neo","SR.exo","Cover.exo","SR.nat","Cover.nat","prop.neo"
"Nl_55","Nl_55",1,13.35797,52.45722,"N",952.96,0,0.001399805,0.003718002,0.003133507,">9.5 - 10.0",3,0.78,7.125,0.902345479,0.061935041,0.018178981,120.27,47.24,0.26375,0.0512125,0.00623875,0.0123725,0.01302375,0.03,66.7,129.4391361,14.56920433,49.61665535,2,180,98,60,60,20,10,26.85547087,32.38531242,38.71451065,53.3304104,0.200660499,28.63120099,39.30213631,76.07812335,0.061213937,0.201004985,0.343570587,0.652734306,3,3,4,6,0.45225,7.46925,33.60808,1074.26154,7.979829314,1.03388,5.21443,9.7484,77.77013,17.38241564,0.295385,FALSE,49,8,8.2,20,26.6,29,85.7,0.137931034482759
"Nl_56","Nl_56",1,13.37576,52.51426,"N",12718.93,0.106997503,0.014553069,0.004407312,0.002282039,">9.5 - 10.0",3,0.78,5.535,1.401639521,0.08833421,0.017893433,34.67,33.87,0.0954375,2.6625,0.0089825,0.075075,0.0263625,0.04,31.75,40.81522676,15.86705732,78.48289108,0,NA,93,90,40,1,3,13.76469486,54.40205243,60.9137119,66.00193863,0,12.98569312,20.89262886,114.6452134,0,1.259497605,1.454578361,1.190393234,1,5,5,6,0.41661,15.63168,54.10123,1249.4293,102.9961364,1.05202,4.67246,11.66415,154.12902,1.107047368,0.2058575,FALSE,26,1,0.1,9,40.4,17,86.5,0.0294117647058824
"Nl_200","Nl_200",1,13.37698,52.53825,"N",5476.94,0,0.000312974,0.002422632,0.001650589,">10.0 - 10.5",4,0.92,6.98,1.804831862,0.102691524,0.022842186,76.21,69.21,0.20545,0.1062125,0.001914125,0.0149075,0.00969,0.05,NA,133.3023845,17.57539463,79.02389908,0,NA,100,70,25,50,15,39.33553015,61.55944794,65.18198881,60.80544631,90.91327873,93.2347972,83.54934463,96.90962667,0.367555113,0.766827336,0.992554259,0.989727683,5,6,6,6,0.67012,12.17065,45.4422,1140.0868,36.93540597,0,0,3.64523,139.92195,791.8693652,0.231961625,TRUE,29,1,0.1,8,6.5,21,85.7,0.0238095238095238
"Nl_205","Nl_205",1,13.25248,52.50828,"N",5361.71,0.008429909,0.00558484,0.009371608,0.006713941,">9.0 - 9.5",1,0.63,6.675,2.360154629,0.131562144,0.068257738,8.68,51.91,0.3895,0.2195,0.00451375,0.01784125,0.00971875,0.05,67.25,61.56158879,17.94246674,34.60424232,0,NA,60,55,10,10,15,50.46938347,38.18809517,40.91086535,38.12025145,26.69330429,31.23799594,34.27610206,41.24957413,0.299193365,0.29972232,0.410969518,0.506621143,4,4,5,5,2.99051,17.01431,52.36309,855.29501,8.426735388,0.29621,2.74928,9.20097,131.46284,322.76178,0.42157375,FALSE,26,4,7,10,14.1,16,76.2,0.125
"Nl_206","Nl_206",1,13.3465,52.56343,"N",14953.2,0,0,0,0.012630373,">9.5 - 10.0",3,0.86,6.36,0.84468773,0.059227636,0.01006105,24.32,55.95,0.1028375,0.268375,0.001685375,0.00989,0.00708625,0.06,28.95,41.84661025,14.25430775,83.93054199,0,NA,98,80,10,40,20,28.25263614,39.02503405,42.72817421,51.47404187,56.87460482,74.20640794,85.48716404,73.52943938,0.281575179,0.455300578,0.520345965,0.615885301,4,6,6,6,0.71559,12.6628,37.39756,1012.6776,82.1230544,0,0,0,103.05409,1640.299557,0.121499125,TRUE,19,0,0,4,7,15,119,0
"Nl_208","Nl_208",1,13.55584,52.43955,"N",5574.87,0,0,0.006356654,0.015959954,">9.0 - 9.5",3,0.74,6.885,2.951948047,0.193259113,0.038702602,8.9,144.56,0.419875,0.302625,0.002417875,0.0228675,0.009215,0.06,116.65,59.90295113,15.28116035,76.27793884,10,225,90,70,5,25,15,53.94574838,51.75384685,46.60262085,33.26806422,97.06460813,89.3238856,59.20918214,26.89885926,0.497007582,0.499285925,0.395065955,0.220240929,6,6,5,3,1.1357,14.91607,47.28132,788.67885,17.23175448,0,2.87079,5.57242,95.19649,221.1376353,0.454375375,FALSE,33,1,1,8,6.4,25,97.2,0.02
"Nl_211","Nl_211",1,13.45144,52.43653,"N",1061.22,0,0.000655139,0.006352066,0.007011706,">9.5 - 10.0",3,0.83,6.94,1.594648778,0.11129323,0.029578917,26.78,54.57,0.324625,0.1804125,0.00911,0.02758125,0.0127125,0.05,88.65,92.94528241,14.33913708,54.12639046,0,NA,98,98,6,5,25,49.31159208,44.01499079,43.67044905,44.97699548,91.10796316,67.77697975,67.53910455,52.60706782,0.465492091,0.536172325,0.532170042,0.383851264,6,6,6,4,1.39928,11.50374,41.35722,858.08135,5.697389463,0,0,0.9778,50.4292,902.1294677,0.37402875,FALSE,28,3,7,8,14.1,20,119.7,0.075
"Nl_214","Nl_214",1,13.49902,52.43429,"N",1456.5,0,0,0.008355462,0.012174393,">9.0 - 9.5",2,0.98,7.055,1.960597456,0.145004444,0.030459178,89.02,32.29,0.0684625,0.02653625,0.000557,0.00874875,0.0075775,0.07,87.65,73.82432101,13.52064991,64.37479973,2,270,85,60,35,10,20,64.03434088,54.18341128,49.52155331,41.50513725,25.90043025,39.17698675,38.5201815,39.57165414,0.160573811,0.332217566,0.282340798,0.306571948,4,4,4,4,2.88964,17.85604,49.77303,877.54681,6.571701331,0,1.20663,2.1337,70.71534,233.9112408,0.08534575,FALSE,34,3,9,14,45.6,20,70.7,0.075
"Nl_220","Nl_220",1,13.35497,52.47755,"N",6196.84,0,0.00150782,0.002561565,0.003363778,">10.0 - 10.5",4,0.89,6.905,0.222762987,0.018577552,0.003011802,2.58,0,0.0641375,0.1484,0.00751375,0.00806625,0.00986375,0.01,74.35,20.40237219,11.97902918,74.72245789,0,NA,97,50,20,30,25,70.30861711,67.58884996,64.39172292,58.87012821,4.201730453,54.55714629,86.10927346,90.09973103,0.399988159,0.726977195,0.792745661,0.937946986,4,5,6,6,2.21454,24.70289,67.58223,1169.99169,28.83455601,0,0.22437,9.59651,86.4921,444.0999411,0.08958125,FALSE,15,2,10.1,2,10.1,13,51.4,0.0769230769230769
"Nm_02","Nm_02",1,13.6585,52.45443,"N",238.55,0.018621087,0.004368959,0.023698848,0.013201949,">8.5 - 9.0",1,0.52,6.125,0.985292375,0.068071105,0.0094999,22.89,26.44,0.0829125,0.23865,0.001993875,0.01338375,0.0077225,0.05,32.1,46.73981662,14.47431612,103.7757339,0,NA,85,65,30,65,25,6.543082066,3.452876791,4.867464857,12.7368428,0,0,0.069314337,8.977020062,0,0.000361528,0.016449413,0.068694308,1,2,3,3,0,0.68951,5.4289,373.27275,367.1522971,0.42,2.02149,4.02188,29.83027,21.40698767,0.106012625,FALSE,39,4,11.2,13,18.5,26,94.1,0.0769230769230769
