plot;date;plant;indv;rec;rec_1;rec_2;act_fl;act_st;act_le;act_c;L_act;ant;aphid;switch;no;steps;walk;exp;act_level;left;random;
Nl-55;22.08.2018;Beta;E;E29;0;1;1;0;0;1;6;3;15;1;0;0;1;0;3;0;0;
Nl-55;27.08.2018;Ceta;A;C80;0;1;1;0;0;1;0,5;1;4;0;1;0;0;0;1;0;0;
Nl-55;27.08.2018;Ceta;B;C81;0;1;1;0;0;1;4;2;30;0;0;1;0;0;2;0;0;
Nl-55;27.08.2018;Ceta;C;C84;0;1;1;1;1;1;3;3;25;0;0;1;1;0;2;0;0;
Nl-55;27.08.2018;Ceta;D;C86;0;1;1;0;0;1;1;0;10;0;0;1;0;0;2;0;0;
Nl-55;27.08.2018;Ceta;E;C88;0;1;1;1;1;1;kA;1;25;0;0;1;0;1;2;0;0;
Ol-55_ext1;02.08.2018;Alpha;A;A25;1;0;1;1;1;1;10;kA;kA;kA;0;0;1;1;2;0;0;
Ol-55_ext1;02.08.2018;Alpha;B;A26;1;0;1;1;0;1;15;kA;kA;kA;0;0;1;0;2;0;0;
Ol-55_ext1;02.08.2018;Alpha;C;A27;1;0;1;0;0;1;3;kA;kA;kA;0;0;1;0;2;0;0;
Ol-55_ext1;02.08.2018;Alpha;D;A28;1;0;1;1;0;1;7;kA;kA;kA;0;0;1;0;2;0;0;
Ol-55_ext1;02.08.2018;Alpha;E;A29;1;0;1;1;1;1;30;kA;kA;kA;0;0;1;1;2;0;0;
Ol-55_ext1;02.08.2018;Alpha;F;A30;1;0;1;0;0;1;3;kA;kA;kA;0;1;0;0;2;0;0;
Ol-55_ext1;12.08.2018;Beta;A;C26;0;1;1;0;0;1;3;kA;kA;kA;1;0;1;0;2;0;0;
Ol-55_ext1;12.08.2018;Beta;B;C27;0;1;1;1;1;1;20;kA;1;kA;0;0;1;1;3;0;0;
Ol-55_ext1;12.08.2018;Beta;C;C28;0;1;1;0;0;1;0,5;kA;2;kA;1;0;0;0;2;0;0;
Ol-55_ext1;12.08.2018;Beta;D;C29;0;1;1;1;1;1;20;kA;kA;kA;0;0;1;1;2;0;0;
Ol-55_ext1;12.08.2018;Beta;E;C30;0;1;1;1;1;1;10;kA;kA;kA;0;0;1;1;2;0;0;
Ol-55_ext1;16.08.2018;Beta;A;D12;0;1;1;0;0;1;2;kA;2;0;1;0;1;0;2;0;0;
Ol-55_ext1;16.08.2018;Beta;B;D13;0;1;1;0;0;1;1;kA;2;0;1;1;0;0;1;0;0;
Ol-55_ext1;16.08.2018;Beta;C;D14;0;1;1;1;1;1;kA;kA;kA;0;0;0;0;1;2;1;0;
Ol-55_ext1;16.08.2018;Beta;D;D15;0;1;1;0;0;1;2;kA;7;1;1;1;0;0;1;0;0;
Ol-55_ext1;21.08.2018;Ceta;A;E2;0;1;1;0;0;0;2;0;2;0;0;1;1;0;1;0;lacks one leg,pollen;
Ol-55_ext1;21.08.2018;Ceta;B;E3;0;1;1;0;0;1;0,5;2;1;0;1;0;0;0;1;0;0;
Ol-55_ext1;21.08.2018;Ceta;C;E4;0;1;1;0;0;1;0,5;3;3;0;1;0;0;0;1;0;0;
Ol-55_ext1;21.08.2018;Ceta;D;E7;0;1;1;0;0;1;2;1;2;0;0;1;1;0;1;0;0;
Ol-55_ext1;21.08.2018;Ceta;E;E8;0;1;1;0;0;1;1;1;2;0;0;1;0;0;1;0;0;
Ol-55_ext1;21.08.2018;Ceta;F;E10;0;1;1;0;0;1;0,5;1;3;0;0;1;0;0;1;0;0;
Ol-55_ext1;24.08.2018;Ceta;A;E62;0;1;1;0;0;1;1;2;4;0;0;1;0;0;1;0;0;
Ol-55_ext1;24.08.2018;Ceta;B;E63;0;1;0;1;1;1;kA;0;0;0;0;0;0;1;2;1;0;
Ol-55_ext1;24.08.2018;Ceta;C;E65;0;1;1;0;0;1;2;2;3;0;0;1;0;0;2;0;0;
