record name;time length(s);states;ow
C54;319;st (21s)-w (3s)-st (9s)-w (8s)-st (28s)-a-st-w-a-str-str-w-st-w (3s)-st (7s)-a-st (15s)-w (7s)-st (8s)-a-w (4s)-st-str-w-st-w (8s)-wf-st (8s)-w-str-w-wf-st (5s)-w (8s)-wf-w (9s)-st-str-wf-w-st-w-str-st-wf-st-w-str-str-st-w (8s)-wf-st (3s)-li-wf-st-w-wf-st (9s)-w (5s)-wf-st-w (8s)-st-w (16s)-wf-w-st (5s)-w-wf-st (4s)-w (8s)-wf-w-str-w (5s)-wf-st-w;
C55;292;w-st-w-k-st-w-st-w-a-w-cl (12s)-li (3s)-cl-a-cl (5s)-li-cl-li (4s)-cl (7s)-a-cl (19s)-w-cl-st (4s)-w (3s)-cl (17s)-a-cl (36s)-str-str-cl-str-st-cl (5s)-a-cl (5s)-a-cl (10s)-str-a-st-str-str-str-str-w (5s)-cl (4s)-w (5s)-cl (19s)-str-str-str-cl (9s)-str-str-str-cl-a-st-str-st-cl (4s)-str-str-st (8s)-cl (10s)-a-k-cl (10s)-a-cl;
D33;135;st (47s)-k-st-w-a-a-w (3s)-cl-a-st-cl-w-st (30s)-a-st (24s)-cl-st-cl-st-ow-a-cl;push of the aphid
D34;123;cl-a-cl (7s)-li (3s)-cl-a-cl (3s)-w-cl-a-cl (13s)-a-cl (9s)-a-cl-w-cl (4s)-w-st-wf-w-cl (9s)-w-cl-str-str-str-a-cl (9s)-k-cl-st-str-str-cl (23s)-li-str-str-cl (7s);
D35;121;cl-a-st-cl-a-cl (4s)-a-cl (9s)-a-cl (12s)-a-cl (6s)-st (12s)-cl (4s)-st-a-st (20s)-cl-str-st-cl (3s)-a-st (10s)-cl (13s);
D59;161;cl (16s)-k-st-a-cl (4s)-a-cl-st (4s)-a-st (11s)-cl (31s)-str-cl (7s)-a-cl (15s)-li-cl (5s)-li (3s)-cl (15s)-w-cl (6s)-li-cl (4s)-str-cl (9s);
D60;180;li-str-cl (6s)-a-a-st-cl (6s)-str-str-str-st (6s)-a-st (5s)-cl (5s)-st (9s)-k-st (7s)-str-cl (3s)-a-str-a-cl-st-str-str-st (35s)-a-w-cl-str-cl-st (12s)-cl (5s)-str-st (7s)-cl (4s)-li-st;
D61;318;w-st-w-exp (12s)-str-li (6s)-k-cl-w-a-cl (7s)-w-wf-st-w-st-str-w-wf-str-exp (9s)-st-exp (10s)-st-str-w-a-w-wf-str-a-wf-w (3s)-wf-cl-st (3s)-a-li-cl-li-k-cl (7s)-a-k-cl (4s)-str-w (3s)-st (3s)-w (3s)-st-w (10s)-cl-w (3s)-cl-a-cl (5s)-w (3s)-wf-w (13s)-str-wf (4s)-st-li (3s)-cl (10s)-li (13s)-a-li (9s)-w-cl (4s)-w-wf-w (3s)-k-cl (3s)-w-cl (14s)-w-wf (3s)-st (6s)-w-st (6s)-stf-wf (4s)-st-cl-li (3s)-st (7s)-a-st (5s)-cl (5s)-w;
D63;223;exp (21s)-str-st-w-k-str-w (11s)-str-str-w-cl (5s)-a-st (5s)-w (3s)-st-wf-str-w (3s)-wf (3s)-stf-wf-k-wf (3s)-a-wf (4s)-st-w (7s)-wf (5s)-li-cl (10s)-w (7s)-wf-k-st (4s)-exp (7s)-a-w-a-w-st-w-wf (3s)-cl (3s)-li-cl (33s)-li-cl-li (14s)-cl (3s)-k-cl-str-cl-a-str-cl-str-cl;
D65;144;cl (11s)-a-cl (11s)-a-cl-k-cl (11s)-str-str-str-cl-st (4s)-cl (5s)-str-k-cl (25s)-st-str-cl (6s)-str-cl (30s)-str-cl-str-cl;
E23;139;cl (11s)-li-cl (3s)-li-cl (3s)-k-cl (3s)-st-cl (15s)-li (3s)-cl (4s)-st-cl (60s)-st (11s)-cl (14s);
E24;170;cl (9s)-k-cl (12s)-w-str-cl-st (6s)-cl (7s)-str-cl (4s)-st (3s)-cl-str-cl (10s)-st (11s)-cl (4s)-li (3s)-cl (9s)-st (8s)-cl-k-cl (10s)-k-st-w-a-cl-str-str-str-w-wf-st-w (5s)-wf-cl-wf (4s)-a-wf-st-wf (3s)-cl (8s)-str-w (3s);
E26;184;cl (3s)-st (15s)-cl (10s)-k-st (5s)-str-st (9s)-a-k-cl (17s)-a-cl (4s)-st (10s)-cl (6s)-st (3s)-cl (7s)-st (3s)-cl (16s)-w-cl (4s)-li-w-cl (5s)-st (14s)-li (3s)-a-cl (25s);
E27;187;str-wf-str-wf (6s)-cl (6s)-w (3s)-wf (7s)-w (7s)-wf (6s)-str-w-str-w-cl (17s)-li-cl-li (3s)-cl (8s)-a-cl-li (3s)-cl (11s)-w-cl (13s)-li-k-cl (12s)-a-cl (5s)-st-str-w-wf (5s)-w-str-w (6s)-cl (10s)-w-cl-w (4s)-a-cl (3s)-k-cl;
